"code","name"
"H","Accurate to +/- .01 second (differentially corrected GPS)"
"1","Accurate to +/- .1 second (differentially corrected GPS)"
"5","Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS))"
"S","Accurate to +/- 1 second"
"R","Accurate to +/- 3 seconds (Standard Positioning Service (SPS GPS))"
"F","Accurate to +/- 5 seconds"
"T","Accurate to +/- 10 seconds"
"M","Accurate to +/- 1 minute"
"U","Unknown"
