"code","name"
"NGVD29","National Geodetic Vertical Datum of 1929"
"NAVD88","North American Vertical Datum of 1988"
"OLDAK","Old Alaska (Mainland) and Aleutian Island Datum"
"OLDPR","Old Puerto Rico and Virgin Island Datum"
"HILOCAL","Local Hawaiin Datum"
"ASLOCAL","Local American Samoa Datum"
"GULOCAL","Local Guam Datum"
"COE1912","COE Datum 1912"
