"code","name"
"C","Calculated from land net"
"D","Differentially corrected Global Positioning System (GPS)"
"G","Global positioning system, uncorrected (Standard Positioning Service (SPS) and Precise Positioning Service (PPS))"
"L","Long-range navigation system"
"M","Interpolated from map"
"N","Interpolated from Digital Map"
"R","Reported"
"S","Transit, theodolite, or other surveying method"
"U","Unknown"
